БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",28.01.2021,20,Подшипники,20-980400,Втулки к подшипникам,10451630,Втулка закрепительная H312 ZWZ,Штука,2.000,"4,615.42",2 307.71
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",04.07.2015,20,Подшипники,20-980400,Втулки к подшипникам,10451642,Втулка закрепительная H322 ZWZ,Штука,2.000,"4,043.66",2 021.83
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",15.07.2020,20,Подшипники,20-980400,Втулки к подшипникам,10451630,Втулка закрепительная H312 ZWZ,Штука,8.000,"14,642.72",1 830.34
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",04.03.2020,20,Подшипники,20-980400,Втулки к подшипникам,1703377,Втулка закрепительная Н2313 SKF,Штука,4.000,"11,999.80",2 999.95
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",21.02.2019,20,Подшипники,20-980400,Втулки к подшипникам,1703377,Втулка закрепительная Н2313 SKF,Штука,12.000,"32,436.00",2 703.00
1A63,"АО ""ННК""","Новокуйбышевск, ул. Промышленная, Самарская область, Россия",18.03.2022,20,Подшипники,20-980400,Втулки к подшипникам,10433694,Втулка закрепительная Н 318,Штука,4.000,"8,956.28",2 239.07
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",25.09.2019,20,Подшипники,20-980400,Втулки к подшипникам,2312640,Втулка В22 УХЛ1,Штука,30.000,"53,156.40",1 771.88
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",25.09.2020,20,Подшипники,20-980400,Втулки к подшипникам,2312640,Втулка В22 УХЛ1,Штука,300.000,"735,678.00",2 452.26
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",22.08.2023,20,Подшипники,20-980400,Втулки к подшипникам,2372848,Втулка H.313 SNR,Штука,4.000,"9,481.84",2 370.46
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",22.06.2024,20,Подшипники,20-980400,Втулки к подшипникам,10016126,Втулка закрепительная H313 TIMKEN,Штука,4.000,"10,760.08",2 690.02
1B54,"ПАО АНК ""Башнефть""","Уфа, Чекмагушевская улица 2, Республика Башкортостан, Россия",17.12.2018,20,Подшипники,20-980400,Втулки к подшипникам,2593026,Втулка подшипника H 2315 Timken,Штука,4.000,"9,238.24",2 309.56
1B54,"ПАО АНК ""Башнефть""","Уфа, Чекмагушевская улица 2, Республика Башкортостан, Россия",12.07.2020,20,Подшипники,20-980400,Втулки к подшипникам,9012503,Втулка закр. NTN Н 2309 Х,Штука,2.000,"5,275.28",2 637.64
1B54,"ПАО АНК ""Башнефть""","Уфа, Чекмагушевская улица 2, Республика Башкортостан, Россия",14.02.2016,20,Подшипники,20-980400,Втулки к подшипникам,9012504,Втулка закр. NTN Н 2315 Х,Штука,2.000,"4,902.86",2 451.43
